,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471,472,473,474,475,476,477,478,479,480,481,482,483,484,485,486,487,488,489,490,491,492,493,494,495
0,"(1, 2)","(1, 3)","(1, 4)","(1, 5)","(1, 6)","(1, 7)","(1, 8)","(1, 9)","(1, 10)","(1, 11)","(1, 12)","(1, 13)","(1, 14)","(1, 15)","(1, 16)","(1, 17)","(1, 18)","(1, 19)","(1, 20)","(1, 21)","(1, 22)","(1, 23)","(1, 24)","(1, 25)","(1, 26)","(1, 27)","(1, 28)","(1, 29)","(1, 30)","(1, 31)","(1, 32)","(2, 3)","(2, 4)","(2, 5)","(2, 6)","(2, 7)","(2, 8)","(2, 9)","(2, 10)","(2, 11)","(2, 12)","(2, 13)","(2, 14)","(2, 15)","(2, 16)","(2, 17)","(2, 18)","(2, 19)","(2, 20)","(2, 21)","(2, 22)","(2, 23)","(2, 24)","(2, 25)","(2, 26)","(2, 27)","(2, 28)","(2, 29)","(2, 30)","(2, 31)","(2, 32)","(3, 4)","(3, 5)","(3, 6)","(3, 7)","(3, 8)","(3, 9)","(3, 10)","(3, 11)","(3, 12)","(3, 13)","(3, 14)","(3, 15)","(3, 16)","(3, 17)","(3, 18)","(3, 19)","(3, 20)","(3, 21)","(3, 22)","(3, 23)","(3, 24)","(3, 25)","(3, 26)","(3, 27)","(3, 28)","(3, 29)","(3, 30)","(3, 31)","(3, 32)","(4, 5)","(4, 6)","(4, 7)","(4, 8)","(4, 9)","(4, 10)","(4, 11)","(4, 12)","(4, 13)","(4, 14)","(4, 15)","(4, 16)","(4, 17)","(4, 18)","(4, 19)","(4, 20)","(4, 21)","(4, 22)","(4, 23)","(4, 24)","(4, 25)","(4, 26)","(4, 27)","(4, 28)","(4, 29)","(4, 30)","(4, 31)","(4, 32)","(5, 6)","(5, 7)","(5, 8)","(5, 9)","(5, 10)","(5, 11)","(5, 12)","(5, 13)","(5, 14)","(5, 15)","(5, 16)","(5, 17)","(5, 18)","(5, 19)","(5, 20)","(5, 21)","(5, 22)","(5, 23)","(5, 24)","(5, 25)","(5, 26)","(5, 27)","(5, 28)","(5, 29)","(5, 30)","(5, 31)","(5, 32)","(6, 7)","(6, 8)","(6, 9)","(6, 10)","(6, 11)","(6, 12)","(6, 13)","(6, 14)","(6, 15)","(6, 16)","(6, 17)","(6, 18)","(6, 19)","(6, 20)","(6, 21)","(6, 22)","(6, 23)","(6, 24)","(6, 25)","(6, 26)","(6, 27)","(6, 28)","(6, 29)","(6, 30)","(6, 31)","(6, 32)","(7, 8)","(7, 9)","(7, 10)","(7, 11)","(7, 12)","(7, 13)","(7, 14)","(7, 15)","(7, 16)","(7, 17)","(7, 18)","(7, 19)","(7, 20)","(7, 21)","(7, 22)","(7, 23)","(7, 24)","(7, 25)","(7, 26)","(7, 27)","(7, 28)","(7, 29)","(7, 30)","(7, 31)","(7, 32)","(8, 9)","(8, 10)","(8, 11)","(8, 12)","(8, 13)","(8, 14)","(8, 15)","(8, 16)","(8, 17)","(8, 18)","(8, 19)","(8, 20)","(8, 21)","(8, 22)","(8, 23)","(8, 24)","(8, 25)","(8, 26)","(8, 27)","(8, 28)","(8, 29)","(8, 30)","(8, 31)","(8, 32)","(9, 10)","(9, 11)","(9, 12)","(9, 13)","(9, 14)","(9, 15)","(9, 16)","(9, 17)","(9, 18)","(9, 19)","(9, 20)","(9, 21)","(9, 22)","(9, 23)","(9, 24)","(9, 25)","(9, 26)","(9, 27)","(9, 28)","(9, 29)","(9, 30)","(9, 31)","(9, 32)","(10, 11)","(10, 12)","(10, 13)","(10, 14)","(10, 15)","(10, 16)","(10, 17)","(10, 18)","(10, 19)","(10, 20)","(10, 21)","(10, 22)","(10, 23)","(10, 24)","(10, 25)","(10, 26)","(10, 27)","(10, 28)","(10, 29)","(10, 30)","(10, 31)","(10, 32)","(11, 12)","(11, 13)","(11, 14)","(11, 15)","(11, 16)","(11, 17)","(11, 18)","(11, 19)","(11, 20)","(11, 21)","(11, 22)","(11, 23)","(11, 24)","(11, 25)","(11, 26)","(11, 27)","(11, 28)","(11, 29)","(11, 30)","(11, 31)","(11, 32)","(12, 13)","(12, 14)","(12, 15)","(12, 16)","(12, 17)","(12, 18)","(12, 19)","(12, 20)","(12, 21)","(12, 22)","(12, 23)","(12, 24)","(12, 25)","(12, 26)","(12, 27)","(12, 28)","(12, 29)","(12, 30)","(12, 31)","(12, 32)","(13, 14)","(13, 15)","(13, 16)","(13, 17)","(13, 18)","(13, 19)","(13, 20)","(13, 21)","(13, 22)","(13, 23)","(13, 24)","(13, 25)","(13, 26)","(13, 27)","(13, 28)","(13, 29)","(13, 30)","(13, 31)","(13, 32)","(14, 15)","(14, 16)","(14, 17)","(14, 18)","(14, 19)","(14, 20)","(14, 21)","(14, 22)","(14, 23)","(14, 24)","(14, 25)","(14, 26)","(14, 27)","(14, 28)","(14, 29)","(14, 30)","(14, 31)","(14, 32)","(15, 16)","(15, 17)","(15, 18)","(15, 19)","(15, 20)","(15, 21)","(15, 22)","(15, 23)","(15, 24)","(15, 25)","(15, 26)","(15, 27)","(15, 28)","(15, 29)","(15, 30)","(15, 31)","(15, 32)","(16, 17)","(16, 18)","(16, 19)","(16, 20)","(16, 21)","(16, 22)","(16, 23)","(16, 24)","(16, 25)","(16, 26)","(16, 27)","(16, 28)","(16, 29)","(16, 30)","(16, 31)","(16, 32)","(17, 18)","(17, 19)","(17, 20)","(17, 21)","(17, 22)","(17, 23)","(17, 24)","(17, 25)","(17, 26)","(17, 27)","(17, 28)","(17, 29)","(17, 30)","(17, 31)","(17, 32)","(18, 19)","(18, 20)","(18, 21)","(18, 22)","(18, 23)","(18, 24)","(18, 25)","(18, 26)","(18, 27)","(18, 28)","(18, 29)","(18, 30)","(18, 31)","(18, 32)","(19, 20)","(19, 21)","(19, 22)","(19, 23)","(19, 24)","(19, 25)","(19, 26)","(19, 27)","(19, 28)","(19, 29)","(19, 30)","(19, 31)","(19, 32)","(20, 21)","(20, 22)","(20, 23)","(20, 24)","(20, 25)","(20, 26)","(20, 27)","(20, 28)","(20, 29)","(20, 30)","(20, 31)","(20, 32)","(21, 22)","(21, 23)","(21, 24)","(21, 25)","(21, 26)","(21, 27)","(21, 28)","(21, 29)","(21, 30)","(21, 31)","(21, 32)","(22, 23)","(22, 24)","(22, 25)","(22, 26)","(22, 27)","(22, 28)","(22, 29)","(22, 30)","(22, 31)","(22, 32)","(23, 24)","(23, 25)","(23, 26)","(23, 27)","(23, 28)","(23, 29)","(23, 30)","(23, 31)","(23, 32)","(24, 25)","(24, 26)","(24, 27)","(24, 28)","(24, 29)","(24, 30)","(24, 31)","(24, 32)","(25, 26)","(25, 27)","(25, 28)","(25, 29)","(25, 30)","(25, 31)","(25, 32)","(26, 27)","(26, 28)","(26, 29)","(26, 30)","(26, 31)","(26, 32)","(27, 28)","(27, 29)","(27, 30)","(27, 31)","(27, 32)","(28, 29)","(28, 30)","(28, 31)","(28, 32)","(29, 30)","(29, 31)","(29, 32)","(30, 31)","(30, 32)","(31, 32)"
1,0,0,1613,712,411,1308,0,499,2103,180,843,0,221,452,377,625,459,605,942,615,287,1899,165,915,1636,0,586,592,853,1857,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2027,1861,621,0,1142,3674,1483,1379,0,1675,1231,1500,1151,1912,1771,1191,1020,1341,371,1541,2410,3130,0,1592,1051,850,246,1752,1153,1731,0,1075,1638,846,1419,0,963,1029,1053,1201,1023,277,1518,1191,868,2322,676,1034,1579,0,553,1168,1194,2280,621,1551,0,743,2533,469,1063,0,196,639,449,845,406,1035,1185,858,540,2142,524,904,1624,0,945,836,1096,2101,548,0,840,3371,1180,1077,0,1372,928,1197,849,1610,1468,538,718,1039,909,1238,2107,2828,0,1289,748,547,867,1449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2613,359,352,0,551,93,377,134,789,946,463,136,218,1420,417,1287,2007,0,752,121,398,1378,628,2300,2964,0,2341,2573,2497,2745,2273,1822,3062,2735,2408,3962,2179,1870,1245,0,2185,2712,2835,3921,1995,705,0,273,314,239,487,511,717,803,476,149,1760,188,1008,1729,0,586,454,714,1719,310,0,874,431,700,241,1112,1292,698,357,563,1655,763,1610,2330,0,1105,391,633,1614,974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,259,655,243,841,996,669,350,1953,330,741,1461,0,751,646,907,1911,354,274,213,686,900,553,226,172,1510,371,1184,1904,0,770,212,488,1468,582,481,497,928,821,494,254,1778,399,995,1715,0,797,472,732,1736,510,893,1074,466,124,345,1422,544,1391,2112,0,868,158,400,1381,755,1120,1233,906,587,2190,568,566,1287,0,989,884,1144,2149,591,1270,937,745,2053,553,1131,1675,0,284,896,925,2011,503,340,661,1467,861,1730,2450,0,1089,371,445,1425,1072,330,1297,530,1399,2120,0,750,40,275,1255,741,1619,213,1116,1837,0,612,313,573,1578,418,1827,2695,3416,0,1877,1336,1136,222,2037,992,1712,0,420,513,773,1777,194,792,0,1400,1384,1644,2649,803,0,1946,2100,2361,3365,1519,0,0,0,0,0,719,748,1834,603,284,1287,721,1095,981,2005
